PROJECTID,NAME,ADDRESS,CITY,STATE,ZIP,MSA,LATITUDE,LONGITUDE,MANAGEMENTCOMPANY,SUBMARKET,QUANTITY,AREAPERUNIT,LEVEL,YEARBUILT,MRG_CLASS,AXIOSUBMNEM,OCCUPANCY_PERCENTAGE,MARKET
42881,Lenox Farms,550 Liberty St,Braintree,MA,2184,"Boston-Cambridge-Newton, MA-NH",42.202739716,-70.98474121,"UDR, Inc",BOS_SM13,338,1456.579956055,2,2008,A,BOS_SM13,0.988,BOS
68009,Millwood Apartments,803 Haverhill St,Rowley,MA,1969,"Boston-Cambridge-Newton, MA-NH",42.704544067,-70.94034576,,BOS_SM9,99,850,3,1974,BC,BOS_SM9,0.988,BOS
75013,Pondsview Apartments,13 Kenmar Dr,Billerica,MA,1821,"Boston-Cambridge-Newton, MA-NH",42.550140381,-71.26891327,Privately Managed,BOS_SM12,172,736.340026855,3,1983,BC,BOS_SM12,0.988,BOS
59905,Mystic Place,3610 Mystic Valley Pkwy,Medford,MA,2155,"Boston-Cambridge-Newton, MA-NH",42.4099617,-71.09515381,Winn Companies,BOS_SM15,465,852.969970703,14,1976,BC,BOS_SM15,0.987,BOS
41062,Whitney Towers,275 Main St,Watertown,MA,2472,"Boston-Cambridge-Newton, MA-NH",42.3695755,-71.18975067,Eleanor V. Pannesi Jr.,BOS_SM19,92,868.909973145,9,1983,BC,BOS_SM19,0.986,BOS
42335,Waverly Apartments,9 Bronsdon St,Brighton,MA,2135,"Boston-Cambridge-Newton, MA-NH",42.359161377,-71.14425659,Aimco,BOS_SM4,103,925.239990234,3,1975,A,BOS_SM4,0.986,BOS
66757,The Chase at Overlook Ridge II,4 Stone Lane,Malden,MA,2148,"Boston-Cambridge-Newton, MA-NH",42.440410614,-71.02610779,Roseland Property Management,BOS_SM15,292,886.210021973,4,2017,A,BOS_SM15,0.986,BOS
67982,Mariner`s Hill,2093 Ocean St,Marshfield,MA,2050,"Boston-Cambridge-Newton, MA-NH",42.090824127,-70.71588898,Beacon Communities,BOS_SM18,67,987.309997559,2,1989,A,BOS_SM18,0.986,BOS
82138,Pine Tree Garden,101 Chestnut St,Foxboro,MA,2035,"Boston-Cambridge-Newton, MA-NH",42.074298859,-71.24347687,MAYFAIR PROPERTIES,BOS_SM11,100,925,2,1968,BC,BOS_SM11,0.986,BOS
21121,The Devonshire,1 Devonshire Pl,Boston,MA,2109,"Boston-Cambridge-Newton, MA-NH",42.358600616,-71.05766296,Devonshire Real Estate and Asset Management,BOS_SM3,480,850.599975586,42,1983,A,BOS_SM3,0.984,BOS
