SNO,AC_LATITUDE,AC_LONGITUDE,AC_COMPID,AC_MANAGEMENTCOMPANY,AC_PROJID,AC_NAME,AC_ADDRESS,AC_CITY,AC_STATE,AC_ZIP,AC_YEARBUIT,AC_QUANTITY,AC_AREAPERUNIT,AC_LEVEL,AC_PROJID,AC_NAME,AC_QUANTITY,AC_AREAPERUNIT,AC_YEARBUILT,MRG_CLASS,AXIOSUBMNEM,FILENAME
  341,37.548763275,-122.286445618,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",409,Lakeshore Landing,2717 S Norfolk St,San Mateo,CA,94403,1988,308,752.869995117,3,409,Lakeshore Landing,308,752.87,1988,BC,SFR_SM5,TALEND
  342,32.735084534,-116.971504211,FRIEDKIN REALTY GROUP,"AMC, LLC",410,Lakeview Village,3115 Sweetwater Springs Blvd,Spring Valley,CA,91978,1985,300,942.030029297,2,410,Lakeview Village,300,942.03,1985,A,SDC_SM20,TALEND
  344,32.838050842,-117.089897156,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",412,Montanosa,11012 Camino Playa Carmel,San Diego,CA,92124,1990,472,879.16998291,2,412,Montanosa,472,879.17,1990,A,SDC_SM11,TALEND
  349,33.761268616,-117.897666931,"Fowler Property Acquisitions Multifamily, LLC",American Capital Group,419,Solare Apartments,2111 W 17th St,Santa Ana,CA,92706,1987,240,786.429992676,3,419,Solare Apartments,240,786.43,1987,BC,ORC_SM19,TALEND
  350,47.857608795,-122.214538574,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",421,Parkwood at Mill Creek,15520 Mill Creek Blvd,Mill Creek,WA,98012,1989,240,1071.5,2,421,Parkwood at Mill Creek,240,1071.50,1989,A,SEA_SM19,TALEND
  360,37.777122498,-121.986228943,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",441,Crow Canyon,1700 Promontory Ter,San Ramon,CA,94583,1992,400,842.659973145,3,441,Crow Canyon,400,842.66,1992,BC,OAK_SM13,TALEND
  362,37.555049896,-121.966934204,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",443,Mission Peaks,1401 Red Hawk Cir,Fremont,CA,94538,1995,453,901.700012207,3,443,Mission Peaks,453,901.70,1995,A,OAK_SM7,TALEND
  366,37.424533844,-122.197425842,Maximus Real Estate Partners,Maximus Real Estate Partners,451,Sharon Green,350 Sharon Park Dr,Menlo Park,CA,94025,1970,296,1127.949951172,3,451,Sharon Green,296,1127.95,1970,A,SAJ_SM9,TALEND
  368,33.709693909,-117.947975159,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",454,The Havens,10441 Slater Ave,Fountain Valley,CA,92708,1971,440,916.75,2,454,The Havens,440,916.75,1971,A,ORC_SM21,TALEND
  371,32.638050079,-117.043830872,Jackson Square Properties,"AMC, LLC",457,Terra Nova Villas,440 E H St,Chula Vista,CA,91910,1985,233,787.340026855,2,457,Terra Nova Villas,233,787.34,1985,A,SDC_SM13,TALEND
